record_id,timestamp_received,logistic_pred,svm_pred,rf_pred,final_vote,confidence_score
REC_15966,2026-05-17T11:14:01.369725,0,0,0,0,0.9979
REC_15967,2026-05-17T11:14:01.420616,0,0,0,0,0.9874
REC_15968,2026-05-17T11:14:01.471024,0,0,0,0,0.9940
REC_15969,2026-05-17T11:14:01.522021,0,0,0,0,0.9921
REC_15970,2026-05-17T11:14:01.572836,0,0,0,0,0.9981
REC_15971,2026-05-17T11:14:01.623984,0,0,0,0,0.9943
REC_15972,2026-05-17T11:14:01.674236,0,0,0,0,0.9950
REC_15973,2026-05-17T11:14:01.724640,0,0,0,0,0.9793
REC_15974,2026-05-17T11:14:01.775360,0,0,0,0,0.9789
REC_15975,2026-05-17T11:14:01.825415,0,0,0,0,0.9065
REC_15976,2026-05-17T11:14:01.876668,0,0,0,0,0.9791
REC_15977,2026-05-17T11:14:01.928244,0,0,0,0,0.9779
REC_15978,2026-05-17T11:14:01.978445,0,0,0,0,0.9875
REC_15979,2026-05-17T11:14:02.028860,0,0,0,0,0.9773
REC_15980,2026-05-17T11:14:02.080244,0,0,0,0,0.9809
REC_15981,2026-05-17T11:14:02.130643,0,0,0,0,0.9671
REC_15982,2026-05-17T11:14:02.182145,0,0,0,0,0.9788
REC_15983,2026-05-17T11:14:02.233034,0,0,0,0,0.9930
REC_15984,2026-05-17T11:14:02.283124,0,0,0,0,0.9791
REC_15985,2026-05-17T11:14:02.334462,0,0,0,0,0.9819
REC_15986,2026-05-17T11:14:02.384172,0,0,0,0,0.9791
REC_15987,2026-05-17T11:14:02.435398,0,0,0,0,0.9792
REC_15988,2026-05-17T11:14:02.485009,0,0,0,0,0.9832
REC_15989,2026-05-17T11:14:02.536762,0,0,0,0,0.9786
REC_15990,2026-05-17T11:14:02.587289,0,0,0,0,0.9930
REC_15991,2026-05-17T11:14:02.638569,0,0,0,0,0.9879
REC_15992,2026-05-17T11:14:02.689108,0,0,0,0,0.9958
REC_15993,2026-05-17T11:14:02.740392,0,0,0,0,0.9791
REC_15994,2026-05-17T11:14:02.790821,0,0,0,0,0.9959
REC_15995,2026-05-17T11:14:02.841274,0,0,0,0,0.9738
REC_15996,2026-05-17T11:14:02.891571,0,0,0,0,0.9966
REC_15997,2026-05-17T11:14:02.943479,0,0,0,0,0.9520
REC_15998,2026-05-17T11:14:02.993780,0,0,0,0,0.9252
REC_15999,2026-05-17T11:14:03.043803,0,0,0,0,0.9791
REC_16000,2026-05-17T11:14:03.094659,0,0,0,0,0.9934
REC_16001,2026-05-17T11:14:03.145456,0,0,0,0,0.9958
REC_16002,2026-05-17T11:14:03.196443,0,0,0,0,0.9937
REC_16003,2026-05-17T11:14:03.248197,0,0,0,0,0.9968
REC_16004,2026-05-17T11:14:03.298484,0,0,0,0,0.9918
REC_16005,2026-05-17T11:14:03.349611,0,0,0,0,0.9960
REC_16006,2026-05-17T11:14:03.400098,0,0,0,0,0.9786
REC_16007,2026-05-17T11:14:03.450736,0,0,0,0,0.9349
REC_16008,2026-05-17T11:14:03.502393,0,0,0,0,0.9905
REC_16009,2026-05-17T11:14:03.552459,0,0,0,0,0.9786
REC_16010,2026-05-17T11:14:03.602409,0,0,0,0,0.9918
REC_16011,2026-05-17T11:14:03.653752,0,0,0,0,0.9788
REC_16012,2026-05-17T11:14:03.704197,0,0,0,0,0.9795
REC_16013,2026-05-17T11:14:03.755474,0,0,0,0,0.8783
REC_16014,2026-05-17T11:14:03.805638,0,0,0,0,0.9548
REC_16015,2026-05-17T11:14:03.856034,0,0,0,0,0.9790
REC_16016,2026-05-17T11:14:03.906671,0,0,0,0,0.9906
REC_16017,2026-05-17T11:14:03.957727,0,0,0,0,0.8272
REC_16018,2026-05-17T11:14:04.008259,0,0,0,0,0.9793
REC_16019,2026-05-17T11:14:04.059925,0,0,0,0,0.9789
REC_16020,2026-05-17T11:14:04.110099,0,0,0,0,0.9791
